                     CH2(Unit:V)     CH3(Unit:V)
Frequency:            99.000 kHz      99.000 kHz
Period:                10.101 uS       10.101 uS
PK-PK:                     144mV           5.00V
1                          0.020           2.440
2                          0.024           2.440
3                          0.020           2.440
4                          0.028           2.440
5                          0.020           2.440
6                          0.040           2.440
7                          0.024           2.400
8                          0.036           2.440
9                          0.032           2.400
10                         0.044           2.400
11                         0.032           2.360
12                         0.044           2.400
13                         0.036           2.320
14                         0.044           2.360
15                         0.036           2.280
16                         0.048           2.320
17                         0.044           2.200
18                         0.052           2.240
19                         0.044           2.120
20                         0.056           2.200
21                         0.044           2.040
22                         0.056           2.120
23                         0.048           1.960
24                         0.056           2.040
25                         0.052           1.880
26                         0.060           1.960
27                         0.052           1.760
28                         0.064           1.840
29                         0.052           1.640
30                         0.064           1.760
31                         0.052           1.520
32                         0.060           1.640
33                         0.056           1.400
34                         0.064           1.520
35                         0.052           1.280
36                         0.064           1.400
37                         0.052           1.160
38                         0.072           1.280
39                         0.056           1.000
40                         0.064           1.120
41                         0.056           0.880
42                         0.064           1.000
43                         0.060           0.720
44                         0.064           0.840
45                         0.056           0.560
46                         0.064           0.720
47                         0.052           0.400
48                         0.064           0.560
49                         0.052           0.280
50                         0.060           0.400
51                         0.056           0.120
52                         0.060           0.240
53                         0.052          -0.040
54                         0.064           0.120
55                         0.048          -0.200
56                         0.056          -0.080
57                         0.048          -0.360
58                         0.056          -0.200
59                         0.048          -0.520
60                         0.056          -0.360
61                         0.044          -0.680
62                         0.052          -0.520
63                         0.040          -0.800
64                         0.052          -0.680
65                         0.040          -0.960
66                         0.048          -0.840
67                         0.036          -1.080
68                         0.048          -0.960
69                         0.032          -1.240
70                         0.044          -1.120
71                         0.028          -1.360
72                         0.040          -1.280
73                         0.028          -1.520
74                         0.032          -1.400
75                         0.020          -1.640
76                         0.032          -1.520
77                         0.020          -1.760
78                         0.028          -1.640
79                         0.016          -1.880
80                         0.028          -1.760
81                         0.016          -1.960
82                         0.024          -1.880
83                         0.008          -2.080
84                         0.020          -1.960
85                         0.004          -2.160
86                         0.016          -2.080
87                        -0.008          -2.240
88                         0.012          -2.160
89                        -0.004          -2.320
90                         0.012          -2.240
91                        -0.008          -2.400
92                         0.008          -2.320
93                        -0.016          -2.440
94                         0.004          -2.400
95                        -0.016          -2.480
96                         0.004          -2.440
97                        -0.024          -2.520
98                         0.000          -2.480
99                        -0.028          -2.560
100                       -0.008          -2.520
101                       -0.024          -2.560
102                       -0.016          -2.560
103                       -0.028          -2.560
104                       -0.016          -2.560
105                       -0.032          -2.560
106                       -0.020          -2.560
107                       -0.036          -2.560
108                       -0.028          -2.560
109                       -0.040          -2.560
110                       -0.028          -2.520
111                       -0.040          -2.520
112                       -0.032          -2.520
113                       -0.044          -2.520
114                       -0.032          -2.480
115                       -0.052          -2.440
116                       -0.040          -2.400
117                       -0.048          -2.400
118                       -0.040          -2.360
119                       -0.052          -2.360
120                       -0.044          -2.280
121                       -0.052          -2.280
122                       -0.044          -2.200
123                       -0.056          -2.200
124                       -0.048          -2.120
125                       -0.060          -2.120
126                       -0.048          -2.040
127                       -0.060          -2.040
128                       -0.048          -1.960
129                       -0.060          -1.920
130                       -0.052          -1.840
131                       -0.060          -1.800
132                       -0.056          -1.720
133                       -0.064          -1.720
134                       -0.056          -1.600
135                       -0.068          -1.600
136                       -0.052          -1.480
137                       -0.060          -1.440
138                       -0.056          -1.320
139                       -0.068          -1.320
140                       -0.056          -1.200
141                       -0.064          -1.200
142                       -0.056          -1.040
