,CH2(Unit:V),CH3(Unit:V)
Frequency:,78.000 kHz,78.000 kHz
Period:,12.821 uS,12.821 uS
PK-PK:,124mV,5.00V
1,-0.024,0.440
2,-0.012,0.520
3,-0.024,0.560
4,-0.008,0.680
5,-0.020,0.680
6,-0.008,0.760
7,-0.016,0.800
8,-0.008,0.880
9,-0.008,0.920
10,0.000,1.000
11,-0.012,1.000
12,0.000,1.120
13,-0.012,1.120
14,0.000,1.240
15,-0.008,1.240
16,0.004,1.320
17,-0.004,1.320
18,0.008,1.440
19,-0.004,1.440
20,0.016,1.520
21,-0.004,1.520
22,0.012,1.600
23,0.004,1.600
24,0.016,1.680
25,0.004,1.720
26,0.016,1.800
27,0.008,1.800
28,0.020,1.880
29,0.008,1.880
30,0.020,1.920
31,0.012,1.960
32,0.020,2.000
33,0.016,2.040
34,0.028,2.080
35,0.016,2.080
36,0.028,2.160
37,0.020,2.160
38,0.032,2.200
39,0.024,2.200
40,0.028,2.240
41,0.024,2.240
42,0.036,2.280
43,0.028,2.280
44,0.040,2.320
45,0.028,2.320
46,0.040,2.360
47,0.028,2.360
48,0.040,2.400
49,0.028,2.400
50,0.040,2.400
51,0.032,2.400
52,0.048,2.440
53,0.032,2.440
54,0.044,2.440
55,0.036,2.440
56,0.044,2.440
57,0.036,2.440
58,0.048,2.440
59,0.040,2.440
60,0.052,2.440
61,0.040,2.400
62,0.052,2.440
63,0.044,2.400
64,0.048,2.400
65,0.040,2.360
66,0.048,2.400
67,0.040,2.320
68,0.056,2.360
69,0.040,2.280
70,0.056,2.320
71,0.044,2.240
72,0.052,2.280
73,0.040,2.200
74,0.056,2.240
75,0.044,2.160
76,0.052,2.200
77,0.044,2.080
78,0.060,2.120
79,0.044,2.040
80,0.052,2.080
81,0.044,1.960
82,0.052,2.000
83,0.040,1.880
84,0.056,1.960
85,0.044,1.800
86,0.056,1.880
87,0.048,1.720
88,0.052,1.800
89,0.044,1.640
90,0.052,1.720
91,0.040,1.520
92,0.056,1.600
93,0.040,1.440
94,0.056,1.520
95,0.044,1.320
96,0.052,1.440
97,0.040,1.240
98,0.052,1.320
99,0.032,1.120
100,0.052,1.240
101,0.040,1.040
102,0.052,1.120
103,0.040,0.880
104,0.048,1.000
105,0.032,0.800
106,0.044,0.920
107,0.032,0.680
108,0.048,0.760
109,0.028,0.560
110,0.044,0.680
111,0.032,0.440
112,0.044,0.560
113,0.028,0.320
114,0.040,0.440
115,0.028,0.200
116,0.036,0.320
117,0.024,0.080
118,0.036,0.200
119,0.028,-0.040
120,0.032,0.080
121,0.024,-0.160
122,0.032,-0.080
123,0.016,-0.280
124,0.032,-0.160
125,0.016,-0.400
126,0.028,-0.320
127,0.012,-0.560
128,0.028,-0.400
129,0.012,-0.640
130,0.028,-0.560
131,0.008,-0.760
132,0.024,-0.640
133,0.008,-0.880
134,0.016,-0.800
135,0.008,-1.000
136,0.012,-0.880
137,0.008,-1.120
138,0.016,-1.000
139,0.000,-1.240
140,0.012,-1.120
141,-0.004,-1.320
142,0.012,-1.240
143,-0.004,-1.440
144,0.004,-1.320
145,-0.004,-1.520
146,0.004,-1.440
147,-0.016,-1.640
148,0.008,-1.560
149,-0.012,-1.720
150,0.004,-1.640
151,-0.012,-1.840
152,-0.008,-1.720
153,-0.016,-1.920
154,-0.008,-1.840
155,-0.016,-2.000
156,-0.004,-1.920
157,-0.024,-2.040
158,-0.004,-2.000
159,-0.024,-2.120
160,-0.016,-2.080
161,-0.024,-2.200
162,-0.012,-2.120
163,-0.028,-2.240
164,-0.016,-2.200
165,-0.028,-2.320
166,-0.020,-2.280
167,-0.036,-2.360
168,-0.020,-2.320
169,-0.032,-2.400
170,-0.024,-2.360
171,-0.036,-2.440
172,-0.024,-2.400
173,-0.036,-2.480
174,-0.020,-2.440
175,-0.044,-2.520
176,-0.028,-2.480
177,-0.040,-2.520
178,-0.032,-2.520
179,-0.044,-2.560
180,-0.028,-2.520
181,-0.044,-2.560
182,-0.032,-2.560
183,-0.048,-2.560
184,-0.036,-2.560
185,-0.048,-2.560
186,-0.040,-2.560
187,-0.048,-2.560
188,-0.040,-2.560
189,-0.052,-2.560
190,-0.036,-2.520
191,-0.048,-2.520
192,-0.040,-2.520
193,-0.052,-2.520
194,-0.044,-2.480
195,-0.052,-2.480
196,-0.044,-2.440
197,-0.052,-2.440
198,-0.040,-2.440
199,-0.052,-2.440
200,-0.044,-2.360
201,-0.052,-2.360
202,-0.048,-2.320
203,-0.056,-2.320
204,-0.044,-2.280
205,-0.052,-2.280
206,-0.040,-2.200
207,-0.056,-2.200
208,-0.044,-2.160
209,-0.060,-2.160
210,-0.044,-2.080
211,-0.056,-2.080
212,-0.044,-2.000
213,-0.052,-2.000
214,-0.044,-1.920
215,-0.052,-1.920
216,-0.040,-1.840
217,-0.052,-1.840
218,-0.044,-1.760
219,-0.056,-1.760
220,-0.040,-1.680
221,-0.056,-1.640
222,-0.040,-1.560
223,-0.048,-1.560
224,-0.040,-1.480
225,-0.052,-1.440
226,-0.040,-1.360
227,-0.052,-1.360
228,-0.040,-1.240
229,-0.052,-1.240
230,-0.036,-1.160
231,-0.044,-1.160
232,-0.036,-1.040
233,-0.044,-1.040
234,-0.032,-0.920
235,-0.044,-0.920
236,-0.036,-0.800
237,-0.048,-0.800
238,-0.032,-0.720
239,-0.040,-0.680
240,-0.024,-0.560
241,-0.040,-0.560
242,-0.028,-0.480
243,-0.040,-0.440
244,-0.024,-0.320
245,-0.040,-0.320
246,-0.028,-0.200
247,-0.036,-0.200
248,-0.024,-0.080
249,-0.028,-0.080
250,-0.020,0.040
251,-0.032,0.040
252,-0.020,0.160
253,-0.028,0.160
254,-0.016,0.280
255,-0.028,0.280
256,-0.012,0.400
257,-0.020,0.400
258,-0.012,0.520
259,-0.020,0.520
260,-0.008,0.640
261,-0.020,0.640
262,-0.012,0.760
263,-0.016,0.760
264,-0.004,0.880
265,-0.016,0.880
266,0.000,1.000
267,-0.012,1.000
268,0.004,1.080
269,-0.012,1.120
270,0.004,1.200
271,-0.008,1.200
272,0.004,1.320
273,-0.004,1.320
274,0.008,1.400
275,0.000,1.400
276,0.012,1.520
277,0.000,1.520
278,0.012,1.600
279,0.000,1.600
280,0.012,1.680
281,0.008,1.680
282,0.016,1.760
283,0.008,1.760
284,0.020,1.840
285,0.012,1.840
