,CH2(Unit:V),CH3(Unit:V)
Frequency:,59.400 kHz,59.400 kHz
Period:,16.835 uS,16.835 uS
PK-PK:,236mV,5.00V
1,-0.112,-2.560
2,-0.100,-2.520
3,-0.108,-2.560
4,-0.104,-2.520
5,-0.112,-2.560
6,-0.104,-2.520
7,-0.116,-2.560
8,-0.104,-2.520
9,-0.112,-2.520
10,-0.100,-2.520
11,-0.108,-2.520
12,-0.100,-2.520
13,-0.112,-2.520
14,-0.100,-2.480
15,-0.112,-2.480
16,-0.096,-2.480
17,-0.116,-2.480
18,-0.096,-2.440
19,-0.112,-2.440
20,-0.096,-2.440
21,-0.108,-2.440
22,-0.096,-2.400
23,-0.108,-2.400
24,-0.096,-2.360
25,-0.108,-2.360
26,-0.096,-2.320
27,-0.104,-2.320
28,-0.092,-2.280
29,-0.100,-2.280
30,-0.092,-2.240
31,-0.104,-2.240
32,-0.092,-2.200
33,-0.096,-2.200
34,-0.088,-2.160
35,-0.100,-2.160
36,-0.088,-2.080
37,-0.092,-2.080
38,-0.084,-2.040
39,-0.092,-2.040
40,-0.080,-2.000
41,-0.092,-2.000
42,-0.080,-1.920
43,-0.084,-1.920
44,-0.076,-1.880
45,-0.084,-1.840
46,-0.076,-1.800
47,-0.084,-1.800
48,-0.068,-1.720
49,-0.080,-1.720
50,-0.072,-1.680
51,-0.076,-1.680
52,-0.064,-1.600
53,-0.072,-1.600
54,-0.060,-1.520
55,-0.068,-1.520
56,-0.060,-1.440
57,-0.068,-1.440
58,-0.056,-1.360
59,-0.068,-1.360
60,-0.052,-1.280
61,-0.060,-1.280
62,-0.044,-1.200
63,-0.056,-1.200
64,-0.048,-1.120
65,-0.056,-1.120
66,-0.040,-1.040
67,-0.048,-1.040
68,-0.036,-0.960
69,-0.044,-0.960
70,-0.032,-0.880
71,-0.044,-0.840
72,-0.032,-0.760
73,-0.040,-0.760
74,-0.024,-0.680
75,-0.036,-0.680
76,-0.024,-0.600
77,-0.032,-0.600
78,-0.020,-0.520
79,-0.024,-0.480
80,-0.012,-0.400
81,-0.020,-0.400
82,-0.012,-0.320
83,-0.020,-0.320
84,-0.008,-0.240
85,-0.016,-0.200
86,-0.004,-0.120
87,-0.008,-0.120
88,0.004,-0.040
89,-0.008,-0.040
90,0.004,0.040
91,-0.004,0.040
92,0.008,0.160
93,0.000,0.160
94,0.012,0.240
95,0.008,0.240
