,CH2(Unit:V),CH3(Unit:V)
Frequency:,45.000 kHz,45.000 kHz
Period:,22.222 uS,22.222 uS
PK-PK:,192mV,5.00V
1,0.012,2.320
2,0.024,2.360
3,0.012,2.320
4,0.028,2.320
5,0.008,2.280
6,0.020,2.320
7,0.004,2.280
8,0.020,2.280
9,0.008,2.240
10,0.016,2.280
11,0.004,2.200
12,0.012,2.240
13,-0.004,2.200
14,0.008,2.200
15,-0.004,2.160
16,0.008,2.200
17,-0.004,2.120
18,0.008,2.160
19,-0.004,2.080
20,0.004,2.120
21,-0.012,2.080
22,0.000,2.080
23,-0.012,2.040
24,0.000,2.040
25,-0.016,1.960
26,0.000,2.000
27,-0.012,1.960
28,-0.004,2.000
29,-0.016,1.880
30,-0.008,1.920
31,-0.020,1.840
32,-0.012,1.920
33,-0.024,1.800
34,-0.008,1.840
35,-0.024,1.760
36,-0.012,1.800
37,-0.024,1.720
38,-0.016,1.760
39,-0.032,1.680
40,-0.020,1.720
41,-0.032,1.600
42,-0.024,1.640
43,-0.032,1.560
44,-0.020,1.600
45,-0.032,1.520
46,-0.024,1.560
47,-0.040,1.440
48,-0.028,1.520
49,-0.044,1.400
50,-0.032,1.440
51,-0.044,1.320
52,-0.028,1.400
53,-0.048,1.280
54,-0.032,1.320
55,-0.048,1.200
56,-0.032,1.280
57,-0.048,1.160
58,-0.040,1.200
59,-0.052,1.080
60,-0.040,1.160
61,-0.048,1.040
62,-0.040,1.080
63,-0.052,0.960
64,-0.044,1.040
65,-0.060,0.920
66,-0.044,0.960
67,-0.056,0.840
68,-0.048,0.920
69,-0.056,0.760
70,-0.048,0.840
71,-0.060,0.720
72,-0.052,0.760
73,-0.064,0.640
74,-0.052,0.720
75,-0.068,0.560
76,-0.056,0.640
77,-0.064,0.520
78,-0.056,0.560
79,-0.068,0.440
80,-0.052,0.520
81,-0.072,0.360
82,-0.056,0.440
83,-0.076,0.280
84,-0.060,0.360
85,-0.072,0.240
86,-0.060,0.280
87,-0.072,0.160
88,-0.060,0.240
89,-0.076,0.080
90,-0.064,0.160
91,-0.076,0.000
92,-0.068,0.080
93,-0.076,-0.040
94,-0.068,0.000
95,-0.076,-0.120
96,-0.068,-0.040
97,-0.080,-0.200
98,-0.064,-0.120
99,-0.084,-0.280
100,-0.072,-0.200
101,-0.080,-0.320
102,-0.072,-0.280
103,-0.080,-0.400
104,-0.064,-0.320
105,-0.080,-0.480
106,-0.072,-0.400
107,-0.096,-0.560
108,-0.060,-0.480
109,-0.084,-0.600
110,-0.076,-0.560
111,-0.092,-0.680
112,-0.056,-0.600
113,-0.088,-0.760
114,-0.072,-0.680
115,-0.084,-0.800
116,-0.076,-0.760
117,-0.084,-0.880
118,-0.076,-0.840
119,-0.088,-0.960
120,-0.076,-0.880
121,-0.084,-1.000
122,-0.072,-0.960
123,-0.092,-1.080
124,-0.076,-1.000
125,-0.084,-1.160
126,-0.080,-1.080
127,-0.088,-1.200
128,-0.076,-1.160
129,-0.088,-1.280
130,-0.076,-1.200
131,-0.088,-1.320
132,-0.076,-1.280
133,-0.088,-1.400
134,-0.080,-1.320
135,-0.088,-1.440
136,-0.076,-1.400
137,-0.084,-1.520
138,-0.076,-1.440
139,-0.084,-1.560
140,-0.072,-1.520
141,-0.092,-1.600
142,-0.076,-1.560
143,-0.088,-1.680
144,-0.076,-1.640
145,-0.084,-1.720
146,-0.076,-1.680
147,-0.080,-1.760
148,-0.072,-1.720
149,-0.088,-1.840
150,-0.068,-1.800
151,-0.088,-1.880
152,-0.072,-1.840
153,-0.088,-1.920
154,-0.068,-1.880
