,CH2(Unit:V),CH3(Unit:V)
Frequency:,76.500 kHz,76.500 kHz
Period:,13.072 uS,13.072 uS
PK-PK:,568mV,4.92V
1,0.004,1.240
2,0.020,1.320
3,0.016,1.320
4,0.036,1.440
5,0.028,1.440
6,0.052,1.520
7,0.048,1.520
8,0.060,1.600
9,0.056,1.600
10,0.072,1.680
11,0.068,1.680
12,0.084,1.760
13,0.084,1.760
14,0.100,1.840
15,0.092,1.840
16,0.112,1.920
17,0.108,1.920
18,0.120,2.000
19,0.116,2.000
20,0.132,2.040
21,0.128,2.040
22,0.148,2.120
23,0.144,2.120
24,0.152,2.160
25,0.152,2.160
26,0.168,2.200
27,0.164,2.200
28,0.176,2.240
29,0.172,2.240
30,0.184,2.280
31,0.184,2.280
32,0.196,2.320
33,0.192,2.320
34,0.200,2.360
35,0.200,2.360
36,0.208,2.360
37,0.204,2.360
38,0.220,2.400
39,0.220,2.400
40,0.228,2.400
41,0.228,2.400
42,0.236,2.400
43,0.228,2.400
44,0.240,2.400
45,0.236,2.400
46,0.244,2.400
47,0.244,2.360
48,0.252,2.400
49,0.248,2.360
50,0.256,2.360
51,0.252,2.320
52,0.264,2.360
53,0.252,2.280
54,0.268,2.320
55,0.260,2.280
56,0.268,2.280
57,0.264,2.200
58,0.272,2.280
59,0.264,2.160
60,0.276,2.240
61,0.260,2.120
62,0.276,2.160
63,0.264,2.080
64,0.280,2.120
65,0.268,2.000
66,0.276,2.080
67,0.268,1.920
68,0.276,2.000
69,0.264,1.880
70,0.272,1.920
71,0.260,1.800
72,0.272,1.880
73,0.264,1.720
74,0.268,1.800
75,0.256,1.640
76,0.264,1.720
77,0.256,1.560
78,0.264,1.640
79,0.248,1.440
80,0.260,1.560
81,0.244,1.360
82,0.256,1.440
83,0.240,1.240
84,0.252,1.360
85,0.232,1.160
86,0.244,1.240
87,0.224,1.040
88,0.236,1.160
89,0.220,0.960
90,0.232,1.040
91,0.212,0.840
92,0.224,0.920
93,0.204,0.720
94,0.220,0.840
95,0.196,0.600
96,0.208,0.720
97,0.188,0.520
98,0.196,0.600
99,0.180,0.400
100,0.188,0.480
101,0.164,0.280
102,0.180,0.360
103,0.156,0.160
104,0.172,0.240
105,0.144,0.040
106,0.160,0.120
107,0.136,-0.080
108,0.148,0.040
109,0.124,-0.200
110,0.140,-0.120
111,0.108,-0.320
112,0.128,-0.200
113,0.096,-0.440
114,0.112,-0.320
115,0.084,-0.560
116,0.104,-0.440
117,0.076,-0.680
118,0.092,-0.560
119,0.064,-0.800
120,0.076,-0.680
121,0.048,-0.880
122,0.064,-0.800
123,0.040,-1.000
124,0.052,-0.920
125,0.024,-1.120
126,0.040,-1.000
127,0.012,-1.240
128,0.028,-1.120
129,-0.004,-1.320
130,0.012,-1.240
131,-0.016,-1.440
132,0.000,-1.320
133,-0.028,-1.520
134,-0.012,-1.440
135,-0.040,-1.600
136,-0.024,-1.520
137,-0.056,-1.680
138,-0.040,-1.640
139,-0.068,-1.800
140,-0.052,-1.720
141,-0.080,-1.880
142,-0.064,-1.800
143,-0.092,-1.960
144,-0.076,-1.880
145,-0.100,-2.040
146,-0.088,-1.960
147,-0.120,-2.080
148,-0.104,-2.040
149,-0.128,-2.160
150,-0.116,-2.080
151,-0.140,-2.200
152,-0.124,-2.160
153,-0.148,-2.280
154,-0.132,-2.240
155,-0.160,-2.320
156,-0.148,-2.280
157,-0.172,-2.360
158,-0.156,-2.320
159,-0.184,-2.400
160,-0.172,-2.360
161,-0.192,-2.440
162,-0.176,-2.400
163,-0.200,-2.480
164,-0.188,-2.440
165,-0.208,-2.480
166,-0.196,-2.480
167,-0.216,-2.520
168,-0.208,-2.480
169,-0.224,-2.520
170,-0.208,-2.520
171,-0.232,-2.520
172,-0.220,-2.520
173,-0.244,-2.520
174,-0.228,-2.520
175,-0.248,-2.520
176,-0.236,-2.520
177,-0.248,-2.520
178,-0.240,-2.520
179,-0.256,-2.520
180,-0.244,-2.480
181,-0.260,-2.480
182,-0.252,-2.480
183,-0.264,-2.480
184,-0.252,-2.440
185,-0.264,-2.440
186,-0.260,-2.400
187,-0.268,-2.400
188,-0.260,-2.360
189,-0.272,-2.360
190,-0.264,-2.320
191,-0.276,-2.320
192,-0.264,-2.280
193,-0.276,-2.280
194,-0.268,-2.240
195,-0.276,-2.200
196,-0.268,-2.160
197,-0.276,-2.160
198,-0.268,-2.080
199,-0.276,-2.080
200,-0.264,-2.040
201,-0.276,-2.000
202,-0.260,-1.960
203,-0.268,-1.960
204,-0.260,-1.880
205,-0.268,-1.880
206,-0.256,-1.800
207,-0.264,-1.800
208,-0.256,-1.720
209,-0.264,-1.680
210,-0.248,-1.600
211,-0.256,-1.600
212,-0.248,-1.520
213,-0.252,-1.520
214,-0.240,-1.440
215,-0.248,-1.440
216,-0.236,-1.320
217,-0.244,-1.320
218,-0.228,-1.200
219,-0.232,-1.200
220,-0.224,-1.120
221,-0.224,-1.120
222,-0.212,-1.000
223,-0.216,-1.000
224,-0.204,-0.880
225,-0.212,-0.880
226,-0.196,-0.800
227,-0.200,-0.800
228,-0.188,-0.680
229,-0.192,-0.640
230,-0.180,-0.560
231,-0.184,-0.560
232,-0.168,-0.440
233,-0.172,-0.440
234,-0.160,-0.320
235,-0.160,-0.320
236,-0.148,-0.200
237,-0.152,-0.200
238,-0.140,-0.080
239,-0.140,-0.080
240,-0.124,0.040
241,-0.132,0.040
242,-0.116,0.160
243,-0.116,0.160
244,-0.104,0.280
245,-0.104,0.280
246,-0.092,0.400
247,-0.092,0.400
248,-0.076,0.520
249,-0.084,0.520
250,-0.064,0.640
251,-0.072,0.640
252,-0.056,0.720
253,-0.056,0.760
254,-0.040,0.840
255,-0.040,0.840
256,-0.028,0.960
257,-0.028,0.960
258,-0.008,1.040
259,-0.024,1.040
260,-0.004,1.160
261,-0.004,1.160
262,0.016,1.240
263,0.004,1.280
264,0.028,1.360
265,0.020,1.360
266,0.040,1.440
267,0.036,1.440
268,0.048,1.560
269,0.048,1.560
270,0.064,1.640
271,0.060,1.640
272,0.080,1.720
273,0.068,1.720
274,0.088,1.800
275,0.088,1.800
276,0.100,1.880
277,0.100,1.880
278,0.112,1.920
279,0.108,1.960
280,0.120,2.000
281,0.124,2.000
282,0.136,2.080
283,0.136,2.080
284,0.144,2.120
285,0.144,2.120
286,0.156,2.160
287,0.156,2.160
288,0.168,2.200
289,0.164,2.240
290,0.180,2.280
291,0.176,2.280
292,0.192,2.280
293,0.184,2.320
294,0.192,2.320
295,0.196,2.320
296,0.208,2.360
297,0.204,2.360
298,0.216,2.360
299,0.212,2.360
300,0.224,2.400
301,0.216,2.360
302,0.228,2.400
303,0.224,2.400
304,0.236,2.400
305,0.232,2.400
306,0.244,2.400
307,0.236,2.400
308,0.252,2.400
309,0.244,2.360
310,0.252,2.360
311,0.248,2.360
312,0.260,2.360
313,0.248,2.320
314,0.260,2.360
315,0.256,2.280
316,0.268,2.320
317,0.260,2.240
318,0.272,2.280
319,0.264,2.200
320,0.272,2.240
321,0.264,2.160
322,0.276,2.200
323,0.264,2.120
324,0.276,2.160
325,0.268,2.040
326,0.280,2.120
327,0.264,2.000
328,0.272,2.040
329,0.264,1.920
330,0.280,2.000
331,0.264,1.840
332,0.272,1.920
333,0.264,1.760
334,0.272,1.840
335,0.260,1.680
336,0.268,1.760
337,0.252,1.600
338,0.264,1.680
339,0.252,1.520
340,0.268,1.600
341,0.248,1.440
342,0.260,1.520
343,0.240,1.320
344,0.256,1.400
345,0.236,1.240
346,0.248,1.320
347,0.228,1.120
348,0.244,1.240
349,0.224,1.040
350,0.240,1.120
351,0.216,0.920
352,0.228,1.000
353,0.208,0.800
354,0.224,0.920
355,0.196,0.680
356,0.212,0.800
357,0.196,0.600
358,0.204,0.680
359,0.184,0.480
360,0.196,0.600
361,0.172,0.360
362,0.188,0.440
363,0.164,0.240
364,0.176,0.360
365,0.156,0.120
366,0.168,0.240
367,0.144,0.000
368,0.156,0.120
369,0.128,-0.120
370,0.148,0.000
371,0.120,-0.240
372,0.132,-0.120
373,0.108,-0.360
374,0.124,-0.240
375,0.096,-0.480
376,0.116,-0.360
377,0.084,-0.600
378,0.096,-0.480
379,0.076,-0.720
380,0.092,-0.600
381,0.056,-0.800
382,0.068,-0.720
383,0.048,-0.920
384,0.060,-0.840
385,0.032,-1.040
386,0.052,-0.920
387,0.020,-1.160
388,0.036,-1.040
389,0.008,-1.240
390,0.020,-1.160
391,-0.004,-1.360
392,0.008,-1.240
393,-0.016,-1.440
394,-0.004,-1.360
395,-0.032,-1.560
396,-0.016,-1.440
397,-0.048,-1.640
398,-0.028,-1.560
399,-0.056,-1.720
400,-0.044,-1.640
401,-0.072,-1.800
402,-0.052,-1.720
403,-0.084,-1.880
404,-0.060,-1.800
405,-0.100,-1.960
406,-0.072,-1.920
407,-0.108,-2.040
408,-0.092,-1.960
409,-0.124,-2.120
410,-0.100,-2.040
411,-0.132,-2.200
412,-0.112,-2.120
413,-0.148,-2.240
414,-0.124,-2.160
415,-0.152,-2.280
416,-0.144,-2.240
417,-0.168,-2.320
418,-0.152,-2.280
419,-0.172,-2.400
420,-0.160,-2.320
421,-0.184,-2.400
422,-0.172,-2.400
423,-0.192,-2.440
424,-0.184,-2.400
425,-0.200,-2.480
426,-0.192,-2.440
427,-0.212,-2.480
428,-0.196,-2.480
429,-0.220,-2.520
430,-0.204,-2.480
431,-0.232,-2.520
432,-0.220,-2.520
433,-0.232,-2.520
434,-0.224,-2.520
435,-0.244,-2.520
436,-0.228,-2.520
437,-0.244,-2.520
438,-0.232,-2.520
439,-0.252,-2.520
440,-0.244,-2.520
441,-0.260,-2.520
442,-0.248,-2.480
443,-0.260,-2.480
444,-0.252,-2.440
445,-0.264,-2.440
446,-0.252,-2.440
447,-0.268,-2.440
448,-0.260,-2.400
449,-0.272,-2.400
450,-0.264,-2.360
451,-0.272,-2.360
452,-0.264,-2.320
453,-0.276,-2.320
454,-0.268,-2.240
455,-0.276,-2.240
456,-0.264,-2.200
457,-0.276,-2.200
458,-0.268,-2.160
459,-0.276,-2.160
460,-0.264,-2.080
461,-0.276,-2.080
462,-0.264,-2.000
463,-0.272,-2.000
464,-0.264,-1.920
465,-0.272,-1.920
466,-0.260,-1.840
467,-0.268,-1.840
468,-0.256,-1.760
469,-0.264,-1.760
470,-0.252,-1.680
471,-0.260,-1.680
472,-0.252,-1.600
473,-0.252,-1.560
474,-0.248,-1.480
475,-0.252,-1.480
476,-0.240,-1.400
477,-0.244,-1.400
478,-0.232,-1.320
479,-0.236,-1.280
480,-0.228,-1.200
481,-0.228,-1.200
482,-0.220,-1.080
483,-0.224,-1.080
484,-0.212,-0.960
485,-0.220,-0.960
486,-0.204,-0.880
487,-0.208,-0.840
488,-0.196,-0.760
489,-0.196,-0.760
490,-0.188,-0.640
491,-0.188,-0.640
492,-0.172,-0.520
493,-0.184,-0.520
494,-0.164,-0.400
495,-0.172,-0.400
496,-0.152,-0.280
497,-0.160,-0.280
498,-0.148,-0.160
499,-0.148,-0.160
500,-0.136,-0.040
501,-0.140,-0.040
502,-0.120,0.040
503,-0.128,0.080
504,-0.108,0.200
505,-0.112,0.200
506,-0.096,0.280
507,-0.104,0.320
508,-0.084,0.440
509,-0.092,0.440
510,-0.076,0.520
511,-0.076,0.560
512,-0.064,0.640
513,-0.064,0.640
514,-0.048,0.760
515,-0.048,0.760
516,-0.036,0.880
517,-0.044,0.880
518,-0.024,0.960
519,-0.032,1.000
520,-0.012,1.080
521,-0.012,1.080
522,0.004,1.200
523,0.000,1.200
524,0.016,1.280
525,0.012,1.280
526,0.028,1.400
527,0.024,1.400
528,0.040,1.480
529,0.040,1.480
530,0.052,1.560
531,0.056,1.560
532,0.068,1.640
533,0.064,1.680
534,0.080,1.720
535,0.076,1.760
536,0.092,1.800
537,0.088,1.840
538,0.104,1.880
539,0.104,1.880
540,0.116,1.960
541,0.112,1.960
542,0.128,2.040
543,0.128,2.040
544,0.140,2.080
545,0.132,2.080
546,0.148,2.120
547,0.148,2.120
548,0.160,2.200
549,0.156,2.200
550,0.176,2.240
551,0.164,2.240
552,0.180,2.280
553,0.176,2.280
554,0.192,2.320
555,0.188,2.320
556,0.204,2.320
557,0.196,2.320
558,0.208,2.360
559,0.204,2.360
560,0.216,2.360
561,0.212,2.360
562,0.220,2.400
563,0.220,2.400
564,0.232,2.400
565,0.224,2.400
566,0.240,2.400
567,0.232,2.400
568,0.244,2.400
569,0.244,2.360
570,0.248,2.400
571,0.244,2.360
572,0.256,2.360
573,0.252,2.320
574,0.260,2.360
575,0.252,2.320
576,0.264,2.320
577,0.260,2.280
578,0.264,2.320
579,0.260,2.240
580,0.272,2.280
581,0.260,2.200
582,0.272,2.240
583,0.268,2.160
584,0.276,2.200
585,0.264,2.080
586,0.276,2.160
587,0.264,2.040
588,0.276,2.080
589,0.264,1.960
590,0.272,2.040
591,0.264,1.920
592,0.276,1.960
593,0.264,1.840
594,0.272,1.880
595,0.260,1.760
596,0.268,1.840
597,0.256,1.680
598,0.272,1.720
599,0.256,1.600
600,0.264,1.680
601,0.252,1.480
602,0.260,1.560
603,0.244,1.400
604,0.256,1.480
605,0.240,1.320
606,0.252,1.400
607,0.240,1.200
608,0.248,1.320
609,0.228,1.120
610,0.244,1.200
611,0.220,1.000
612,0.236,1.080
613,0.212,0.880
614,0.224,1.000
615,0.208,0.760
616,0.220,0.880
617,0.200,0.680
618,0.212,0.760
619,0.192,0.560
620,0.204,0.640
621,0.180,0.440
622,0.192,0.560
623,0.172,0.320
624,0.184,0.440
625,0.164,0.200
626,0.172,0.320
627,0.152,0.080
628,0.164,0.200
629,0.140,-0.040
630,0.152,0.080
631,0.124,-0.160
632,0.140,-0.040
633,0.116,-0.280
634,0.132,-0.160
635,0.104,-0.400
636,0.116,-0.280
637,0.092,-0.520
638,0.108,-0.400
639,0.080,-0.640
640,0.092,-0.520
641,0.068,-0.720
642,0.088,-0.640
643,0.056,-0.840
644,0.072,-0.720
645,0.040,-0.960
646,0.064,-0.840
647,0.028,-1.080
648,0.044,-0.960
649,0.016,-1.160
650,0.032,-1.080
651,0.008,-1.280
652,0.020,-1.160
653,-0.012,-1.360
654,0.008,-1.280
655,-0.020,-1.480
656,-0.004,-1.400
657,-0.036,-1.560
658,-0.024,-1.480
659,-0.044,-1.680
660,-0.032,-1.560
661,-0.064,-1.760
662,-0.048,-1.680
663,-0.076,-1.840
664,-0.060,-1.760
665,-0.088,-1.920
666,-0.072,-1.840
667,-0.096,-2.000
668,-0.084,-1.920
669,-0.112,-2.080
670,-0.092,-2.000
671,-0.128,-2.120
672,-0.108,-2.080
673,-0.136,-2.200
674,-0.120,-2.120
675,-0.148,-2.240
676,-0.136,-2.200
677,-0.156,-2.320
678,-0.140,-2.240
679,-0.164,-2.360
680,-0.152,-2.280
681,-0.176,-2.400
682,-0.164,-2.360
683,-0.184,-2.440
684,-0.176,-2.400
685,-0.196,-2.440
686,-0.184,-2.440
687,-0.208,-2.480
688,-0.184,-2.440
689,-0.220,-2.520
690,-0.200,-2.480
691,-0.220,-2.520
692,-0.212,-2.480
693,-0.228,-2.520
694,-0.216,-2.520
695,-0.236,-2.520
696,-0.220,-2.520
697,-0.244,-2.520
698,-0.232,-2.520
699,-0.252,-2.520
700,-0.236,-2.520
701,-0.252,-2.520
702,-0.240,-2.480
703,-0.264,-2.520
704,-0.244,-2.480
705,-0.260,-2.480
706,-0.252,-2.440
707,-0.268,-2.440
708,-0.256,-2.400
709,-0.268,-2.440
710,-0.264,-2.360
711,-0.272,-2.360
712,-0.260,-2.320
713,-0.272,-2.320
714,-0.260,-2.280
715,-0.272,-2.280
716,-0.268,-2.240
717,-0.276,-2.240
718,-0.264,-2.200
719,-0.276,-2.160
720,-0.264,-2.120
721,-0.276,-2.120
722,-0.264,-2.040
723,-0.276,-2.040
724,-0.264,-2.000
725,-0.272,-1.960
726,-0.264,-1.920
727,-0.272,-1.920
728,-0.260,-1.840
729,-0.268,-1.800
730,-0.252,-1.720
731,-0.260,-1.720
732,-0.252,-1.640
733,-0.260,-1.640
734,-0.248,-1.560
735,-0.256,-1.560
736,-0.244,-1.440
737,-0.244,-1.440
738,-0.236,-1.360
739,-0.240,-1.360
740,-0.232,-1.280
741,-0.236,-1.240
742,-0.228,-1.160
743,-0.232,-1.160
744,-0.216,-1.040
745,-0.224,-1.040
746,-0.208,-0.960
747,-0.212,-0.920
748,-0.204,-0.840
749,-0.204,-0.800
750,-0.192,-0.720
751,-0.196,-0.720
752,-0.180,-0.600
753,-0.188,-0.600
754,-0.172,-0.480
755,-0.176,-0.480
756,-0.164,-0.360
757,-0.164,-0.360
758,-0.156,-0.280
759,-0.160,-0.240
760,-0.144,-0.120
761,-0.148,-0.120
762,-0.128,-0.040
763,-0.132,0.000
764,-0.120,0.080
765,-0.120,0.120
766,-0.108,0.200
767,-0.112,0.240
768,-0.096,0.320
769,-0.100,0.360
770,-0.084,0.440
771,-0.088,0.440
772,-0.068,0.560
773,-0.072,0.600
774,-0.056,0.680
775,-0.064,0.680
776,-0.044,0.800
777,-0.048,0.800
778,-0.032,0.880
779,-0.032,0.920
780,-0.020,1.000
781,-0.020,1.040
782,-0.008,1.120
783,-0.008,1.120
784,0.004,1.200
785,0.000,1.240
786,0.020,1.320
787,0.012,1.320
788,0.032,1.400
789,0.028,1.440
790,0.048,1.480
791,0.040,1.520
792,0.056,1.600
793,0.056,1.600
794,0.068,1.680
795,0.068,1.680
796,0.080,1.760
797,0.080,1.760
798,0.096,1.840
799,0.092,1.840
800,0.108,1.920
801,0.104,1.920
802,0.120,1.960
803,0.112,2.000
804,0.128,2.040
805,0.128,2.040
806,0.140,2.080
807,0.140,2.120
808,0.156,2.160
809,0.152,2.160
810,0.164,2.200
811,0.156,2.200
812,0.172,2.240
813,0.168,2.240
814,0.184,2.280
815,0.184,2.280
816,0.196,2.320
817,0.184,2.320
818,0.200,2.360
819,0.196,2.320
820,0.212,2.360
821,0.204,2.360
822,0.220,2.400
823,0.216,2.360
824,0.232,2.400
825,0.220,2.400
826,0.232,2.400
827,0.228,2.400
828,0.240,2.400
829,0.236,2.400
830,0.244,2.400
831,0.240,2.360
832,0.252,2.400
833,0.244,2.360
834,0.260,2.360
835,0.252,2.320
836,0.260,2.360
837,0.256,2.320
838,0.264,2.320
839,0.260,2.280
840,0.268,2.320
841,0.264,2.240
842,0.272,2.280
843,0.260,2.160
844,0.272,2.240
845,0.264,2.120
846,0.272,2.200
847,0.268,2.080
848,0.276,2.120
849,0.264,2.000
850,0.276,2.080
851,0.264,1.960
852,0.280,2.000
853,0.264,1.880
854,0.272,1.960
855,0.264,1.800
856,0.272,1.880
857,0.264,1.720
858,0.268,1.800
859,0.260,1.640
860,0.268,1.720
861,0.256,1.560
862,0.264,1.640
863,0.248,1.480
864,0.256,1.560
865,0.244,1.360
866,0.256,1.440
867,0.244,1.280
868,0.252,1.360
869,0.232,1.160
870,0.244,1.280
871,0.224,1.080
872,0.236,1.160
873,0.216,0.960
874,0.232,1.040
875,0.216,0.840
876,0.228,0.960
877,0.204,0.760
878,0.220,0.840
879,0.196,0.640
880,0.208,0.760
881,0.184,0.520
882,0.200,0.600
883,0.176,0.400
884,0.192,0.520
885,0.168,0.280
886,0.180,0.400
887,0.160,0.160
888,0.172,0.280
889,0.148,0.040
890,0.160,0.160
