,CH2(Unit:V),CH3(Unit:V)
Frequency:,80.000 kHz,80.000 kHz
Period:,12.500 uS,12.500 uS
PK-PK:,436mV,5.00V
1,-0.188,-0.760
2,-0.176,-0.640
3,-0.180,-0.600
4,-0.172,-0.520
5,-0.180,-0.480
6,-0.164,-0.360
7,-0.168,-0.360
8,-0.156,-0.280
9,-0.164,-0.240
10,-0.148,-0.120
11,-0.156,-0.120
12,-0.144,0.000
13,-0.148,0.000
14,-0.140,0.120
15,-0.140,0.120
16,-0.132,0.240
17,-0.132,0.240
18,-0.124,0.360
19,-0.124,0.400
20,-0.112,0.480
21,-0.116,0.480
22,-0.108,0.600
23,-0.108,0.640
24,-0.096,0.720
25,-0.100,0.720
26,-0.084,0.840
27,-0.088,0.840
28,-0.072,0.960
29,-0.080,0.960
30,-0.068,1.080
31,-0.072,1.080
32,-0.056,1.200
33,-0.060,1.200
34,-0.044,1.280
35,-0.052,1.280
36,-0.036,1.400
37,-0.040,1.400
38,-0.028,1.480
39,-0.032,1.480
40,-0.020,1.600
41,-0.016,1.600
42,-0.004,1.680
43,-0.008,1.680
44,0.004,1.760
45,0.000,1.760
46,0.012,1.840
47,0.008,1.840
48,0.024,1.920
49,0.020,1.920
50,0.036,2.000
51,0.028,2.000
52,0.048,2.040
53,0.044,2.080
54,0.060,2.120
55,0.048,2.120
56,0.068,2.160
57,0.060,2.200
58,0.076,2.240
59,0.068,2.240
60,0.084,2.280
61,0.080,2.280
62,0.092,2.320
63,0.088,2.320
64,0.104,2.360
65,0.096,2.360
66,0.112,2.360
67,0.104,2.360
68,0.124,2.400
69,0.116,2.400
70,0.128,2.400
71,0.128,2.400
72,0.136,2.400
73,0.136,2.400
74,0.144,2.440
75,0.140,2.400
76,0.152,2.400
77,0.144,2.400
78,0.160,2.400
79,0.156,2.400
80,0.164,2.400
81,0.160,2.360
82,0.172,2.400
83,0.164,2.320
84,0.176,2.360
85,0.172,2.280
86,0.184,2.320
87,0.180,2.240
88,0.188,2.280
89,0.184,2.200
90,0.196,2.280
91,0.184,2.160
92,0.200,2.200
93,0.188,2.080
94,0.200,2.160
95,0.196,2.040
96,0.204,2.080
97,0.196,1.960
98,0.204,2.040
99,0.196,1.880
100,0.208,1.960
101,0.200,1.800
102,0.212,1.880
103,0.204,1.720
104,0.208,1.800
105,0.200,1.640
106,0.212,1.720
107,0.200,1.560
108,0.212,1.640
109,0.200,1.440
110,0.208,1.560
111,0.200,1.360
112,0.208,1.440
113,0.200,1.240
114,0.212,1.360
115,0.192,1.120
116,0.204,1.240
117,0.192,1.040
118,0.204,1.120
119,0.192,0.920
120,0.200,1.000
121,0.188,0.800
122,0.200,0.920
123,0.184,0.680
124,0.192,0.800
125,0.176,0.560
126,0.188,0.680
127,0.172,0.440
128,0.184,0.560
129,0.168,0.320
130,0.180,0.440
131,0.160,0.200
132,0.172,0.320
133,0.152,0.080
134,0.168,0.200
135,0.148,-0.040
136,0.160,0.080
137,0.144,-0.160
138,0.152,-0.040
139,0.136,-0.280
140,0.148,-0.200
141,0.124,-0.440
142,0.136,-0.320
143,0.116,-0.520
144,0.132,-0.440
145,0.108,-0.680
146,0.120,-0.560
147,0.100,-0.800
148,0.120,-0.680
149,0.092,-0.920
150,0.104,-0.800
151,0.080,-1.000
152,0.096,-0.920
153,0.076,-1.120
154,0.084,-1.040
155,0.064,-1.240
156,0.080,-1.160
157,0.052,-1.360
158,0.072,-1.240
159,0.044,-1.440
160,0.056,-1.360
161,0.036,-1.560
162,0.044,-1.480
163,0.020,-1.640
164,0.036,-1.560
165,0.012,-1.760
166,0.028,-1.680
167,0.000,-1.840
168,0.016,-1.760
169,-0.008,-1.920
170,0.004,-1.840
171,-0.016,-2.000
172,-0.004,-1.920
173,-0.032,-2.080
174,-0.012,-2.000
175,-0.040,-2.160
176,-0.028,-2.080
177,-0.052,-2.200
178,-0.036,-2.160
179,-0.060,-2.280
180,-0.048,-2.200
181,-0.068,-2.320
182,-0.056,-2.280
183,-0.080,-2.360
184,-0.064,-2.320
185,-0.088,-2.400
186,-0.076,-2.360
187,-0.104,-2.440
188,-0.084,-2.400
189,-0.108,-2.480
190,-0.092,-2.440
191,-0.116,-2.520
192,-0.100,-2.480
193,-0.124,-2.520
194,-0.112,-2.520
195,-0.136,-2.520
196,-0.124,-2.520
197,-0.140,-2.560
198,-0.128,-2.520
199,-0.148,-2.560
200,-0.132,-2.520
201,-0.156,-2.560
202,-0.140,-2.520
203,-0.164,-2.520
204,-0.152,-2.520
205,-0.172,-2.520
206,-0.156,-2.480
207,-0.172,-2.520
208,-0.164,-2.480
209,-0.180,-2.480
210,-0.172,-2.440
211,-0.188,-2.440
212,-0.176,-2.400
213,-0.192,-2.400
214,-0.180,-2.360
215,-0.196,-2.360
216,-0.180,-2.320
217,-0.200,-2.320
218,-0.192,-2.240
219,-0.200,-2.240
220,-0.192,-2.200
221,-0.208,-2.200
222,-0.196,-2.120
223,-0.208,-2.120
224,-0.196,-2.040
225,-0.208,-2.040
226,-0.200,-1.960
227,-0.208,-1.960
228,-0.200,-1.880
229,-0.212,-1.880
230,-0.204,-1.800
231,-0.212,-1.800
232,-0.200,-1.720
233,-0.208,-1.720
234,-0.200,-1.600
235,-0.212,-1.600
236,-0.200,-1.520
237,-0.212,-1.520
238,-0.200,-1.400
239,-0.208,-1.400
240,-0.196,-1.320
241,-0.208,-1.320
242,-0.196,-1.200
243,-0.200,-1.200
244,-0.192,-1.080
245,-0.204,-1.080
246,-0.184,-0.960
247,-0.196,-0.960
248,-0.180,-0.880
249,-0.192,-0.840
250,-0.184,-0.760
251,-0.184,-0.720
252,-0.176,-0.640
253,-0.184,-0.600
254,-0.172,-0.520
255,-0.176,-0.480
256,-0.164,-0.360
257,-0.168,-0.360
258,-0.160,-0.240
259,-0.164,-0.240
260,-0.152,-0.120
261,-0.156,-0.120
262,-0.140,0.000
263,-0.156,0.000
264,-0.136,0.120
265,-0.144,0.120
266,-0.128,0.240
267,-0.136,0.240
268,-0.120,0.360
269,-0.124,0.360
270,-0.116,0.480
271,-0.120,0.480
272,-0.104,0.600
273,-0.108,0.600
274,-0.096,0.720
275,-0.100,0.720
276,-0.084,0.840
277,-0.092,0.840
278,-0.076,0.960
279,-0.084,0.960
280,-0.068,1.080
281,-0.072,1.080
282,-0.060,1.200
283,-0.064,1.200
284,-0.048,1.280
285,-0.048,1.280
286,-0.036,1.400
287,-0.040,1.400
288,-0.028,1.480
289,-0.036,1.480
290,-0.016,1.600
291,-0.020,1.600
292,-0.008,1.680
